Seed,DilutionRate,Species_ID,CUE,C_final
54,0.001,73,0.13907884502101836,7.916604155228686e-14
54,0.001,74,0.18207768107233394,9.912318802003866e-08
54,0.001,75,0.1384079248886089,8.649741538929649e-15
54,0.001,76,0.14614354567014332,9.967846685216362e-14
54,0.001,77,0.18973037299155068,1.1371773481698488e-07
54,0.001,78,0.16309322817962388,8.863939127044251e-11
54,0.001,79,0.10374457808699161,1.1464665303143804e-18
54,0.001,80,0.20099172590122816,3.0720757210174183e-07
54,0.001,81,0.21941823061198365,0.00014940914416719118
54,0.001,82,0.09891964076562673,2.7828122250039026e-19
54,0.001,83,0.11192565012475048,1.6833252387253824e-17
54,0.001,84,0.15132117209538556,7.675144171357509e-13
54,0.001,85,0.11301920916469245,7.843772090224779e-17
54,0.001,86,0.19663156228615117,9.047596256428156e-06
54,0.001,87,0.09332804610284297,9.98913153403811e-19
54,0.001,88,0.1163517944184571,1.66851126825844e-16
54,0.001,89,0.17085934191970836,3.439816589463713e-10
54,0.001,90,0.010294457232125671,8.003995848958878e-26
54,0.001,91,0.21238550190112668,1.478040241132178e-05
