Seed,DilutionRate,Community,Species_ID,Origin,CUE,C_final,Species_Index
50,0.01,Comm3,78,Comm1,0.1833810983865189,2.2080394259270656e-05,968
50,0.01,Comm3,79,Comm1,0.11348213367071609,5.937656980037064e-14,690
50,0.01,Comm3,80,Comm1,0.13599159411261597,1.5922023180034377e-11,308
50,0.01,Comm3,81,Comm1,0.164078321220368,1.560833705371176e-06,585
50,0.01,Comm3,82,Comm1,0.19952314567158447,0.001862047019422563,975
50,0.01,Comm3,83,Comm1,0.18987669689794187,1.0015691368159306e-05,768
50,0.01,Comm3,84,Comm1,0.16854870121503226,2.494518989757693e-08,977
50,0.01,Comm3,85,Comm1,0.17460300978617616,1.0260087495657186e-07,257
50,0.01,Comm3,86,Comm1,0.20998267451946198,0.016129189358567407,563
50,0.01,Comm3,87,Comm1,0.15255247545969064,3.781960957402887e-10,142
50,0.01,Comm3,88,Comm1,0.1731443030291682,1.0225054336293644e-06,463
50,0.01,Comm3,89,Comm1,0.10403865321348833,3.846813216220676e-15,962
50,0.01,Comm3,90,Comm1,0.05786059738233039,1.4640470344308135e-19,973
50,0.01,Comm3,91,Comm1,0.13018183061293764,1.1251903892052956e-12,815
50,0.01,Comm3,92,Comm1,0.09567478893068021,4.121651561380972e-14,903
50,0.01,Comm3,93,Comm1,0.1488516576318529,4.0673672593332314e-12,836
50,0.01,Comm3,94,Comm1,0.2331752166098883,1.3789125050443525,493
50,0.01,Comm3,95,Comm1,0.15285734609354726,1.1485043941863392e-09,81
50,0.01,Comm3,96,Comm1,0.2345952578825854,4.3053309225182534,577
50,0.01,Comm3,97,Comm1,0.08190224236560727,2.3369931498875713e-17,964
50,0.01,Comm3,98,Comm1,0.1854324885276996,0.0001390794989001319,139
50,0.01,Comm3,99,Comm1,0.20044724585847662,0.00020153559308425732,513
50,0.01,Comm3,100,Comm1,-0.0458873476311356,9.521052372498802e-30,216
50,0.01,Comm3,101,Comm2,0.1073532946082146,1.5065738963402306e-16,517
50,0.01,Comm3,102,Comm2,0.28129134659897503,48.291396048315676,617
50,0.01,Comm3,103,Comm2,0.2017767565045837,1.3357868645387898e-06,229
50,0.01,Comm3,104,Comm2,0.051563145585901506,1.0312358888913563e-23,80
50,0.01,Comm3,105,Comm2,0.24741160412457655,0.8274474646576535,129
50,0.01,Comm3,106,Comm2,0.18054678104931474,8.961418304196625e-08,567
50,0.01,Comm3,107,Comm2,0.1584415263831687,4.632892320937689e-12,98
50,0.01,Comm3,108,Comm2,0.14024442080951063,1.374503640154158e-13,641
50,0.01,Comm3,109,Comm2,0.151403105593779,2.716984098693739e-12,844
50,0.01,Comm3,110,Comm2,0.22494035938126472,0.0007062830613679593,340
50,0.01,Comm3,111,Comm2,0.12825249355194593,1.2645581484844924e-17,948
50,0.01,Comm3,112,Comm2,0.21732978076093443,0.006244855424828249,757
50,0.01,Comm3,113,Comm2,0.029346644360886548,4.850843036687248e-25,623
50,0.01,Comm3,114,Comm2,0.22480669489545216,0.04527024900006576,838
50,0.01,Comm3,115,Comm2,0.12690172314163406,9.003486299652425e-15,548
50,0.01,Comm3,116,Comm2,0.14775539897815254,1.060371302453399e-13,494
